variant_id,variant_name,mistral,phi3,llama3.1,qwen2.5,gemma2,qwen3
V1,baseline,0.98659793814433,0.0824742268041237,0.7298969072164948,0.9237113402061856,0.9938144329896909,0.9690721649484536
V2,R,0.988659793814433,0.1752577319587628,0.9257731958762888,0.91340206185567,0.9958762886597938,0.9701030927835051
V3,A,0.9783505154639176,0.3484536082474226,0.8804123711340206,0.790721649484536,0.9824742268041236,0.9350515463917526
V4,C,0.9917525773195875,0.0298969072164948,0.743298969072165,0.9608247422680412,0.9917525773195875,0.9731958762886598
V5,T,0.9567010309278352,0.9525773195876288,0.5628865979381443,0.9463917525773196,0.9845360824742267,0.934020618556701
V6,F,0.8701030927835052,0.4391752577319587,0.8938144329896908,0.7742268041237114,0.9536082474226804,0.734020618556701
V7,R+F,0.9041237113402062,0.4731958762886598,0.9381443298969072,0.7546391752577319,0.9701030927835051,0.8041237113402062
V8,T+F,0.8195876288659794,0.8762886597938144,0.2257731958762886,0.734020618556701,0.9237113402061856,0.7845360824742268
V9,R+A+F,0.9298969072164948,0.6474226804123712,0.9783505154639176,0.8680412371134021,0.9752577319587628,0.8876288659793814
V10,R+A+T,0.931958762886598,0.9505154639175256,0.7814432989690722,0.9175257731958762,0.98659793814433,0.9577319587628866
V11,A+C+T,0.9268041237113402,0.9649484536082474,0.7237113402061855,0.9,0.981443298969072,0.9577319587628866
V12,A+T+F,0.922680412371134,0.7680412371134021,0.702061855670103,0.831958762886598,0.9742268041237112,0.8412371134020619
V13,R+T+F,0.8969072164948454,0.8896907216494845,0.3958762886597938,0.7835051546391752,0.981443298969072,0.8742268041237113
V14,C+T+F,0.8082474226804124,0.9041237113402062,,0.6835051546391753,0.9701030927835051,0.811340206185567
V15,R+C+T+F,0.8969072164948454,0.865979381443299,0.3721649484536082,0.7319587628865979,0.988659793814433,0.8731958762886598
V16,R+A+C+T,0.945360824742268,0.9577319587628866,0.7618556701030927,0.9268041237113402,0.9804123711340206,0.9536082474226804
V17,R+A+T+F,0.954639175257732,0.7701030927835052,0.734020618556701,0.8835051546391752,0.977319587628866,0.8989690721649485
V18,R+A+C+T+F,0.945360824742268,0.8515463917525773,0.8061855670103093,0.8628865979381444,0.977319587628866,0.8896907216494845
