variant_id,variant_name,mistral,phi3,llama3.1,qwen2.5,gemma2,qwen3
V1,baseline,0.3058485139022052,0.4210526315789473,0.3156486847971467,0.3780590717299578,0.2894894894894895,0.3198366791425654
V2,R,0.2949861581051984,0.4748603351955307,0.3169784680550653,0.3778251599147121,0.2854609929078014,0.321379781420765
V3,A,0.3266781411359725,0.5075075075075075,0.3996256434253626,0.4456711214410226,0.3361552028218695,0.3830236486486486
V4,C,0.2934716290420988,0.3972602739726027,0.3397737983034872,0.3317906728373087,0.2944597490052035,0.3161419959812458
V5,T,0.3350180505415162,0.320944772490448,0.3248066627007733,0.3477272727272727,0.2857570317175344,0.393058568329718
V6,F,0.4203187250996016,0.6292466765140325,0.3973418881759853,0.4702567313713212,0.3666270313119302,0.49375866851595
V7,R+F,0.4134842055634135,0.6103723404255319,0.3591160220994475,0.4750162232316677,0.365011636927851,0.4710144927536231
V8,T+F,0.3305613305613306,0.2920962199312715,0.2558411214953271,0.4668852459016393,0.3451463790446841,0.5219478737997256
V9,R+A+F,0.4,0.5019984012789768,0.3099281515349444,0.412139011257954,0.3493353028064992,0.411371237458194
V10,R+A+T,0.3061293599729089,0.3192520775623269,0.3644230769230769,0.3852813852813853,0.2951881554595928,0.3794934640522875
V11,A+C+T,0.326790258087968,0.3068852459016393,0.3915225878416062,0.4017487344684767,0.310198761811665,0.3948151296217594
V12,A+T+F,0.3077716643741403,0.329500221141088,0.3895881006864988,0.4310897435897436,0.3330983433204089,0.4681583476764199
V13,R+T+F,0.3211517165005537,0.2995487677889621,0.3318928262748487,0.4548174745661281,0.3195703256126216,0.4726867335562987
V14,C+T+F,0.3086614173228346,0.309347442680776,,0.4900221729490022,0.3366726296958855,0.4990488268864933
V15,R+C+T+F,0.3022932592077831,0.3169811320754717,0.3477842003853564,0.4813559322033898,0.3165016501650165,0.4785310734463276
V16,R+A+C+T,0.3158801240096452,0.3136394328156651,0.3663857213683689,0.3777310924369748,0.2955251709136109,0.3825475599669148
V17,R+A+T+F,0.2858024691358025,0.3548693586698337,0.3461351482741857,0.4059687351965892,0.3223393403604216,0.4342629482071713
V18,R+A+C+T+F,0.2855808159451884,0.3431657665143331,0.3556161891768986,0.42769545222279,0.3155792276964048,0.4425641025641025
